Asset Name,Asset Number,RFID Tag,Serial Number,Tag,Material Name,Type,Manufacturer,Model,Material Subtype/Category,ETS Std HW Category,Record Status,Cabinet Name/U Number,Location,Creation Date,Operational Date,Decommission Date,In TCS Scope,Support Group Name,RU Category,RU Group,UPS,Project,PO Number,Warranty Start Date,Warranty End Date,ETS Non-std support,Non ETS Std HW Support details,Ring Fenced,age (mo),application (mock),Owner (mock),status (prod or nonprod) (mock),7x24 OEM $ / 365 days (mock),7x24 Tier1 (yes/no?),NBD Tier 2 7% save (yes/no),None Tier 3 100% save (yes/no),7x24 3rd Party Tier 4 80% save (yes/no),cost avoidance ($) if not Tier 1
NX-8170-G9-01,AST-001,RFID-001,SN-NX8170G9-001,TAG-001,Nutanix NX-8170-G9,Server/HCI,Nutanix,NX-8170-G9,HCI Appliance,Server,Active,CAB-A1/U1,Alhambra Data Center,2022-01-15,2022-03-01,,Yes,HW Support Team,Tier1,Production,Yes,DataCenter Modernization,PO-10001,2022-03-01,2025-03-01,No,,No,38,ERP System,Alex Moreno,prod,45000,yes,no,no,no,0
NX-8170-G9-02,AST-002,RFID-002,SN-NX8170G9-002,TAG-002,Nutanix NX-8170-G9,Server/HCI,Nutanix,NX-8170-G9,HCI Appliance,Server,Active,CAB-A1/U2,Alhambra Data Center,2022-01-15,2022-03-01,,Yes,HW Support Team,Tier1,Production,Yes,DataCenter Modernization,PO-10001,2022-03-01,2025-03-01,No,,No,38,ERP System,Alex Moreno,prod,45000,yes,no,no,no,0
NX-8170-G8-01,AST-003,RFID-003,SN-NX8170G8-001,TAG-003,Nutanix NX-8170-G8,Server/HCI,Nutanix,NX-8170-G8,HCI Appliance,Server,Active,CAB-B1/U1,Alhambra Data Center,2019-06-10,2019-09-01,,Yes,HW Support Team,Tier1,Production,Yes,Infrastructure Refresh,PO-10002,2019-09-01,2022-09-01,No,,No,77,Analytics Platform,Riley Thompson,prod,38000,yes,no,no,yes,30400
NX-8170-G8-02,AST-004,RFID-004,SN-NX8170G8-002,TAG-004,Nutanix NX-8170-G8,Server/HCI,Nutanix,NX-8170-G8,HCI Appliance,Server,Active,CAB-B1/U2,Alhambra Data Center,2019-06-10,2019-09-01,,Yes,HW Support Team,Tier1,Production,Yes,Infrastructure Refresh,PO-10002,2019-09-01,2022-09-01,No,,No,77,Analytics Platform,Riley Thompson,prod,38000,yes,no,no,yes,30400
NX-3460-G7-01,AST-005,RFID-005,SN-NX3460G7-001,TAG-005,Nutanix NX-3460-G7,Server/HCI,Nutanix,NX-3460-G7,HCI Appliance,Server,Active,CAB-C1/U1,Irvine Operations Center,2017-03-20,2017-06-01,,Yes,HW Support Team,Tier2,Production,No,DR Site Build,PO-10003,2017-06-01,2020-06-01,No,,No,105,DR Backup,Jordan Patel,nonprod,28000,no,no,no,yes,22400
NX-3460-G7-02,AST-006,RFID-006,SN-NX3460G7-002,TAG-006,Nutanix NX-3460-G7,Server/HCI,Nutanix,NX-3460-G7,HCI Appliance,Server,Active,CAB-C1/U2,Irvine Operations Center,2017-03-20,2017-06-01,,Yes,HW Support Team,Tier2,Production,No,DR Site Build,PO-10003,2017-06-01,2020-06-01,No,,No,105,DR Backup,Jordan Patel,nonprod,28000,no,no,yes,no,28000
CISCO-N9K-01,AST-007,RFID-007,SN-N9K5000-001,TAG-007,Cisco Nexus 9508,Network,Cisco,Nexus 9508,Core Switch,Network,Active,CAB-D1/U20,Alhambra Data Center,2020-11-05,2021-01-15,,Yes,Network Ops,Tier1,Production,Yes,Network Modernization,PO-10004,2021-01-15,2024-01-15,No,,No,62,Core Network,Samir Shah,prod,22000,yes,no,no,no,0
CISCO-N9K-02,AST-008,RFID-008,SN-N9K5000-002,TAG-008,Cisco Nexus 9504,Network,Cisco,Nexus 9504,Core Switch,Network,Active,CAB-D1/U22,Alhambra Data Center,2020-11-05,2021-01-15,,Yes,Network Ops,Tier1,Production,Yes,Network Modernization,PO-10004,2021-01-15,2024-01-15,No,,No,62,Core Network,Samir Shah,prod,22000,yes,no,yes,no,0
CISCO-N93-01,AST-009,RFID-009,SN-N93180-001,TAG-009,Cisco Nexus 93180YC-FX,Network,Cisco,Nexus 93180YC-FX,Access Switch,Network,Active,CAB-E1/U10,Irvine Operations Center,2018-08-15,2018-10-01,,Yes,Network Ops,Tier2,Production,Yes,IOC Refresh,PO-10005,2018-10-01,2021-10-01,No,,No,89,Core Network,Avery Chen,prod,8000,yes,no,no,yes,6400
CISCO-N56-01,AST-010,RFID-010,SN-N5672UP-001,TAG-010,Cisco Nexus 5672UP,Network,Cisco,Nexus 5672UP,Distribution Switch,Network,Active,CAB-F1/U15,Irvine Operations Center,2016-04-10,2016-07-01,,No,Network Ops,Tier3,Production,No,Legacy Network,PO-10006,2016-07-01,2019-07-01,No,,No,117,DMZ Network,Casey Nguyen,nonprod,6500,no,no,yes,no,6500
IBM-POWER9-01,AST-011,RFID-011,SN-IBMPWR9-001,TAG-011,IBM Power System E950,Server,IBM,Power System E950,RISC Server,Server,Active,CAB-G1/U5,Alhambra Data Center,2019-02-20,2019-05-01,,Yes,HW Support Team,Tier1,Production,Yes,Core Systems,PO-10007,2019-05-01,2022-05-01,No,,No,82,Finance System,Parker Johnson,prod,35000,yes,no,no,yes,28000
IBM-POWER8-01,AST-012,RFID-012,SN-IBMPWR8-001,TAG-012,IBM Power System E880,Server,IBM,Power System E880,RISC Server,Server,Active,CAB-G1/U10,Alhambra Data Center,2015-09-15,2015-12-01,,Yes,HW Support Team,Tier1,Production,Yes,Legacy ERP,PO-10008,2015-12-01,2018-12-01,No,,No,124,Legacy ERP,Parker Johnson,prod,35000,yes,no,no,yes,28000
NETAPP-AFF-01,AST-013,RFID-013,SN-AFFAA400-001,TAG-013,NetApp AFF A400,Storage,NetApp,AFF A400,All-Flash Storage,Storage,Active,CAB-H1/U1,Alhambra Data Center,2021-05-10,2021-08-01,,Yes,Storage Ops,Tier1,Production,Yes,Storage Modernization,PO-10009,2021-08-01,2024-08-01,No,,No,55,ERP System,Taylor Kim,prod,25000,yes,no,no,no,0
NETAPP-AFF-02,AST-014,RFID-014,SN-AFFAA400-002,TAG-014,NetApp AFF A400,Storage,NetApp,AFF A400,All-Flash Storage,Storage,Active,CAB-H1/U5,Irvine Operations Center,2018-03-05,2018-06-01,,Yes,Storage Ops,Tier2,Production,Yes,IOC Storage,PO-10010,2018-06-01,2021-06-01,No,,No,93,Analytics Platform,Taylor Kim,prod,25000,yes,no,no,yes,20000
PALOALTO-FW-01,AST-015,RFID-015,SN-PA5260-001,TAG-015,Palo Alto PA-5260,Network,Palo Alto Networks,PA-5260,Next-Gen Firewall,Network,Active,CAB-I1/U1,Alhambra Data Center,2020-07-20,2020-10-01,,Yes,Security Ops,Tier1,Production,Yes,Security Modernization,PO-10011,2020-10-01,2023-10-01,No,,No,65,Security Infrastructure,Drew Martinez,prod,18000,yes,no,yes,no,0
PALOALTO-FW-02,AST-016,RFID-016,SN-PA5250-001,TAG-016,Palo Alto PA-5250,Network,Palo Alto Networks,PA-5250,Next-Gen Firewall,Network,Active,CAB-I1/U3,Irvine Operations Center,2017-10-15,2018-01-01,,Yes,Security Ops,Tier2,Production,Yes,IOC Security,PO-10012,2018-01-01,2021-01-01,No,,No,98,Security Infrastructure,Drew Martinez,prod,18000,yes,no,no,yes,14400
NX-8170-G9-03,AST-017,RFID-017,SN-NX8170G9-003,TAG-017,Nutanix NX-8170-G9,Server/HCI,Nutanix,NX-8170-G9,HCI Appliance,Server,Active,CAB-A2/U1,Alhambra Data Center,2023-02-10,2023-05-01,,Yes,HW Support Team,Tier1,Production,Yes,Platform Expansion,PO-10013,2023-05-01,2026-05-01,No,,No,22,ERP System,Morgan Alvarez,prod,45000,yes,no,no,no,0
CISCO-N93-02,AST-018,RFID-018,SN-N93180-002,TAG-018,Cisco Nexus 93180YC-FX,Network,Cisco,Nexus 93180YC-FX,Access Switch,Network,Active,CAB-E2/U10,Irvine Operations Center,2019-04-15,2019-07-01,,Yes,Network Ops,Tier1,Production,Yes,IOC Expansion,PO-10014,2019-07-01,2022-07-01,No,,No,80,Core Network,Avery Chen,prod,8000,yes,no,yes,no,560
NX-3460-G7-03,AST-019,RFID-019,SN-NX3460G7-003,TAG-019,Nutanix NX-3460-G7,Server/HCI,Nutanix,NX-3460-G7,HCI Appliance,Server,Active,CAB-C2/U1,Irvine Operations Center,2016-11-10,2017-02-01,,Yes,HW Support Team,Tier3,Production,No,DEV Environment,PO-10015,2017-02-01,2020-02-01,No,,No,109,Dev/Test,Jordan Patel,nonprod,28000,no,no,yes,no,28000
CISCO-N9K-03,AST-020,RFID-020,SN-N9K5000-003,TAG-020,Cisco Nexus 9300,Network,Cisco,Nexus 9300,ToR Switch,Network,Active,CAB-D2/U20,Alhambra Data Center,2021-08-20,2021-11-01,,Yes,Network Ops,Tier1,Production,Yes,ADC ToR Refresh,PO-10016,2021-11-01,2024-11-01,No,,No,52,Core Network,Samir Shah,prod,8000,yes,no,no,no,0
IBM-POWER9-02,AST-021,RFID-021,SN-IBMPWR9-002,TAG-021,IBM Power System E980,Server,IBM,Power System E980,RISC Server,Server,Active,CAB-G2/U5,Irvine Operations Center,2018-12-10,2019-03-01,,Yes,HW Support Team,Tier1,Production,Yes,IOC Core,PO-10017,2019-03-01,2022-03-01,No,,No,84,Finance System,Parker Johnson,prod,35000,yes,no,yes,no,2450
